created_at,text,coordinates,hashtags
2020-05-23 09:10:39,Contesto en. 02 segundos,,[]
2020-05-23 09:10:41,Si le dan RT se las enseño en persona,,[]
2020-05-23 09:10:44,@PacoHerran @Antidiurno Vamos a recordar los buenos tiempos con @Antidiurno !,,[]
2020-05-23 09:10:46,The protagonist of my second novel is struggling with recovery after a whole life of abuses and forced mental disor… https://t.co/5XXhoMfiUm,,[]
2020-05-23 09:10:48,@JorgeMe80159759 Mejor y que rico!!,,[]
2020-05-23 09:10:52,@BoninRenee Me too!,,[]
2020-05-23 09:10:56,"Una empresa que tiene Miles de franquicias por todo el mundo se declara en bancarrota, que nos espera a México?",,[]
2020-05-23 09:11:31,@fuckmydad yes,,[]
2020-05-23 09:11:32,El vato que me gusta me mando un audio y me dijo asi de que onda morrillo que haces yo festejando a una amiga bla b… https://t.co/yAsK1tk6U0,,[]
2020-05-23 09:11:38,@TeaBoots @BoninRenee LOL,,[]
2020-05-23 09:11:39,Punk rock is your friend.,,[]
2020-05-23 09:11:41,@ScruffyWizard si,,[]
2020-05-23 09:11:43,@kjswiftie13 Pink 💘,,[]
2020-05-23 09:11:47,@Tiger_Balm_US 10.,,[]
2020-05-23 09:11:49,Tomar Tequila hasta emborracharnos y hacer el amor hasta el amanecer! 👌🏻👌🏻👌🏻,,[]
2020-05-23 09:12:00,@Enea_Salgado @lopezobrador_ @SanjuanaNotimex @AnaGabrielaGue @ManuelBartlett @DrCarlosLomeli Y te faltó… https://t.co/CT72inlxC0,,[]
2020-05-23 09:12:05,@chriisxxxs1 rico,,[]
2020-05-23 09:12:12,@Guadalu20529200 Puedo ser tu fotógrafo 😉,,[]
2020-05-23 09:12:13,"Mb 4.6 earthquake (reviewed) occured at 2020-05-23T08:56:57 UTC, offshore Chiapas, Mexico https://t.co/862YzEJ8H3","{'type': 'Point', 'coordinates': [-93.6915, 14.8899]}",[]
2020-05-23 09:12:13,@ManuuuelDiaz Estás embarazada,,[]
2020-05-23 09:12:26,"【M4.6】OFFSHORE CHIAPAS, MEXICO 38.3km 2020/05/23 17:56:57JST, 2020/05/23 08:56:57UTC
(G)https://t.co/8Tg4ERHrID (US… https://t.co/G6tiALqbq7","{'type': 'Point', 'coordinates': [-93.6915, 14.8899]}",[]
