created_at,text,coordinates,hashtags
2020-05-22 08:58:21,@PedroRuizPCR Felicitaciones y el mejor de los éxitos,,[]
2020-05-22 08:58:25,Las 4 y sereno yo creo q ya me voy a dormir,,[]
2020-05-22 08:58:27,No les pasa que tiran una indirecta para alguien y esa persona le da rt?,,[]
2020-05-22 08:58:45,"@eve_toirac Claro porque Twitter me va a pagar los billes, poniendo escritos pseudo hipsters seguro meto aire en mi nevera",,[]
2020-05-22 08:58:46,@kittykushman626 Muy buenos días! Saludos!,,[]
2020-05-22 08:59:03,Felt #earthquake (#sismo) M5.9 strikes 150 km SW of #Mazatlán (#Mexico) 13 min ago. Please report to:… https://t.co/MaUjaKbDmf,"{'type': 'Point', 'coordinates': [-107.72, 22.6]}","[{'text': 'earthquake', 'indices': [5, 16]}, {'text': 'sismo', 'indices': [18, 24]}, {'text': 'Mazatlán', 'indices': [52, 61]}, {'text': 'Mexico', 'indices': [63, 70]}]"
2020-05-22 08:59:06,Descarga nuestra app LastQuake y recibe información sísmica en tiempo real! Comparte tu experiencia y lee la de los… https://t.co/QRM3Qj9KuB,"{'type': 'Point', 'coordinates': [-107.72, 22.6]}",[]
2020-05-22 08:59:10,Agradezco a @AppleMusic que hayan sumado a su catálogo a Tool.,,[]
2020-05-22 08:59:30,Yo no apoyo q nadie me valen verga...,,[]
2020-05-22 08:59:34,"@JLozanoA Como 100,000 millones de neuronas de diferencia",,[]
2020-05-22 08:59:36,"Me muero de calor o me muero de sueño, una de dos.",,[]
2020-05-22 08:59:38,@jennaloveaus Muy buenos días! Saludos!,,[]
2020-05-22 08:59:42,"Me encantaban las  esclavas libertarias, esclavas androides humanidad godinez... de mañana.",,[]
2020-05-22 09:00:03,"Acaban de sumarse a las tendencias de México:
 - Agust D
 - #VerijasGate

Fue tendencia Banda MS y Snoop Dogg por https://t.co/3rgiVtiYKj","{'type': 'Point', 'coordinates': [-99.1913432, 19.4156206]}","[{'text': 'VerijasGate', 'indices': [60, 72]}]"
2020-05-22 09:00:03,@Jackielobatova Está bien chidori,,[]
2020-05-22 09:00:04,🕓  TIN TIN TIN TIN,,[]
2020-05-22 09:00:05,Las mujeres reales sobresalen...,,[]
2020-05-22 09:00:06,🕕  Cloon Cloon Cloon Cloon Cloon Cloon   #BoaSextafeira,,"[{'text': 'BoaSextafeira', 'indices': [41, 55]}]"
2020-05-22 09:00:27,¿A ustedes también les da muchísima hambre cuando se despiertan temprano o soy sólo yo?,,[]
2020-05-22 09:00:27,Tan tan... 😉 https://t.co/1NLT7T5m2B,,[]
2020-05-22 09:00:29,un Delphox con pene,,[]
2020-05-22 09:00:31,"@Javier_Alatorre Debería de ayudarnos ya que estamos pasando una situación muy dolorosa mi familia, operaron A mi n… https://t.co/13bUqgFaUC",,[]
2020-05-22 09:00:45,Fuerte tormenta afectó la comunidad de Nuevo Tampaon en el municipio de Tamuín la noche del jueves. Caída de árbole… https://t.co/dtc1VSmsBp,,[]
2020-05-22 09:00:45,Ojalá algún día entienda porque esta canción me duele tanto 💔 https://t.co/gAkKI2ZETK,,[]
2020-05-22 09:00:46,@lelepalooza Maybe,,[]
2020-05-22 09:00:49,"Listisima para morir con tanto arte uwu
#AGUSTD2 #SUGA https://t.co/42VQEhfxdk",,"[{'text': 'AGUSTD2', 'indices': [40, 48]}, {'text': 'SUGA', 'indices': [49, 54]}]"
2020-05-22 09:00:52,Me acabo de dar cuenta que el tomógrafo está al lado de urgencias.,,[]
2020-05-22 09:00:57,@F1 Is the best,,[]
2020-05-22 09:01:19,Se pondrá la del zacahuil? Tengo hambre. ):,,[]
2020-05-22 09:01:25,Sin nada que hacer hijos de su chingada madre.,,[]
2020-05-22 09:01:35,"Ahora escucho #RainOnMe, es volver a escuchar el ritmo pop con el que inició Lady Gaga... #StupidLove https://t.co/IQadZaQoII",,"[{'text': 'RainOnMe', 'indices': [14, 23]}, {'text': 'StupidLove', 'indices': [90, 101]}]"
2020-05-22 09:01:37,No me interesa ser amigo de nadie no soy puto ni transgenero ni gaycni partidario d tríos ni nada...,,[]
2020-05-22 09:01:41,Swfl here!,,[]
2020-05-22 09:01:52,bueeeeeno yo le doy a esa cancion 6/10. Meeeeehhhhh 😴,,[]
2020-05-22 09:01:54,"Por volverte a ver... por sentir tus manos y abrazos, por escuchar esos latidos, por ver esa sonrisa, por escuchar… https://t.co/1RuvJZuvRP","{'type': 'Point', 'coordinates': [-99.1332, 19.4326]}",[]
2020-05-22 09:01:55,"@larubisco @JLozanoA @JoseAMeadeK Gran diferencia, BIOLOCA, Meade tiene más neuronas que tú. Donde está el ahorita?… https://t.co/7zVYV0aaIL",,[]
2020-05-22 09:02:07,@melissaterrazas Jajaajajaj estuvo chilo la neta,,[]
2020-05-22 09:02:08,"@Donillini @WaltsWorld1971 @PapaJ0419 @IslandH2OLive @CuriousAxel And again, if I’m working and see your face witho… https://t.co/0pXH4jODaO",,[]
2020-05-22 09:02:16,"¿Qué calidad profesional, moral y ética tienen los que critican las comedias románticas o cine comercial? Como si s… https://t.co/BZlTd4M6aN",,[]
2020-05-22 09:02:33,"@ ustedes saben quienes son, los amo ❤️",,[]
2020-05-22 09:02:34,"#AGBarr is BIG ON TALK but LOW ON ACTION. When he stated he Was NOT GONNA indict the treasonous traitors, he gave t… https://t.co/8dYo0tcWfy",,"[{'text': 'AGBarr', 'indices': [0, 7]}]"
2020-05-22 09:02:37,@rbrett67 Nah.,,[]
2020-05-22 09:02:37,I know I’m not asking for a fucking dragon.,,[]
2020-05-22 09:02:47,@rafaelleyvafeli @GIshida20 @JLozanoA Antes de juzgar a los que trabajamos y pagamos tu beca NINI... https://t.co/bUv7uyVMi3,,[]
2020-05-22 09:02:57,Caro me envió un mensaje bien bonito 🥺💓,,[]
2020-05-22 09:02:57,@IsaiSilva_ @Ricardo_Peralta Sabes cuál amigo,,[]
2020-05-22 09:02:58,Amo mi #tatuaje  de la pierna😍👌 https://t.co/JGSoYNKDLZ,,"[{'text': 'tatuaje', 'indices': [7, 15]}]"
2020-05-22 09:03:00,Vienes... me ilusionas me confundes y te vas🎶,,[]
2020-05-22 09:03:05,Sólo coexisto en su universo que. I comprenden...,,[]
2020-05-22 09:03:23,@Angelit71611360 @ManTamp78 Lo conoces?,,[]
2020-05-22 09:03:30,"#QuédateEnCasa y vive la experiencia de este duelo sonidero‼️ Viernes 22 de Mayo a partir de las 7:00 de la tarde,… https://t.co/SGVSsUxGbl",,"[{'text': 'QuédateEnCasa', 'indices': [0, 14]}]"
2020-05-22 09:03:32,@El_Universal_Mx Pedazo de idiota cada quien tiene lo que trabaja así de fácil mendigo parasitó.,,[]
2020-05-22 09:03:44,Fluyo en su incomprensión...,,[]
2020-05-22 09:03:50,Del Mazo: hay estrategia para poder tener regreso seguro en Edomex https://t.co/aO7qHSIF8F,,[]
2020-05-22 09:03:53,@javier_ortiz__ @VMOSN @JLozanoA Ya te oyó @ManuelBartlett  y no le agrado tu comentario https://t.co/b0DuAR9OJC,,[]
2020-05-22 09:03:54,@Fridarosana .,,[]
2020-05-22 09:03:55,Y mi sueñoooo?????,,[]
2020-05-22 09:04:11,@warkentin 😉✌️,,[]
2020-05-22 09:04:13,@MiFeeeer♡,,[]
2020-05-22 09:04:22,Conversations in the dark,,[]
2020-05-22 09:04:29,Sus vidas son irrelevantes...,,[]
2020-05-22 09:04:37,Chii 👀,,[]
2020-05-22 09:04:48,"@DoIkyta Amo el café y los besos, éxito!",,[]
2020-05-22 09:04:49,"@Amethys__ Te entiendo perfectamente, lo mismo paso con mi mamá en el IMSS",,[]
2020-05-22 09:04:50,Quisiera ser ese alguien,,[]
2020-05-22 09:04:51,"@MrEPCOT @WhatsAYorg It was Phineas and Ferb, and yeah.",,[]
2020-05-22 09:04:51,"@lopezdoriga El peor presidente de la historia de Mexico, aparte de payaso.",,[]
2020-05-22 09:04:53,"[DATI #RIVISTI] #terremoto Mw 6.1 ore 10:46 IT del 22-05-2020, Off coast of central Mexico [Sea: Mexico] Prof=20Km… https://t.co/GaXioaMHyR","{'type': 'Point', 'coordinates': [-107.815, 22.493]}","[{'text': 'RIVISTI', 'indices': [6, 14]}, {'text': 'terremoto', 'indices': [16, 26]}]"
2020-05-22 09:04:54,marica q hablais 😂🤦🏼‍♀️,,[]
2020-05-22 09:04:55,Todo por una foto donde mostraba el resultado de 40 días haciendo ejercicio.. https://t.co/5RxCsocAPN,,[]
2020-05-22 09:05:00,@linda_de_Romeo Qué suerte Jajajaja,,[]
2020-05-22 09:05:03,"Acaban de sumarse a las tendencias de México:
 - Chris Evans
 - Venustiano Carranza
 - #ipn84añosporméxico
 -… https://t.co/NZYkHYiHQE","{'type': 'Point', 'coordinates': [-99.1913432, 19.4156206]}","[{'text': 'ipn84añosporméxico', 'indices': [87, 106]}]"
2020-05-22 09:05:04,"Revised【Mw6.1】OFF COAST OF SINALOA, MEXICO Depth 30km May 22, 2020 08:46:12 UTC (G)https://t.co/uUaewzECIg (EMSC)https://t.co/7n5Q74zO8s","{'type': 'Point', 'coordinates': [-107.78, 22.52]}",[]
2020-05-22 09:05:04,"Actualizado【Mw6.1】FUERA DE LA COSTA DE SINALOA, MEXICO 30km 22/05/2020 08:46:12 UTC
(G)https://t.co/OfdnXBB5JZ (EMSC)https://t.co/cj2LfTyeOr","{'type': 'Point', 'coordinates': [-107.78, 22.52]}",[]
2020-05-22 09:05:14,"@AriadnaGervasi1 @epigmenioibarra Coincido Ari, pero cuando el mat. con q pretnden afectar a la #4T es tan poquita… https://t.co/TEwpEQKA0A",,"[{'text': '4T', 'indices': [96, 99]}]"
2020-05-22 09:05:16,@linda_de_Romeo Prepáralo,,[]
2020-05-22 09:05:30,"@madnesskingdom I love knowing that whenever I finally make it to Japan, I will not have to rent a car.",,[]
2020-05-22 09:05:30,"【M6.1】OFF THE COAST OF BAJA CALIFORNIA SUR 10.0km 2020/05/22 17:46:06 JST[UTC+9]
(G)https://t.co/bBt4RKUdhi (USGS)https://t.co/wc3yY5bv32","{'type': 'Point', 'coordinates': [-108.1636, 22.4028]}",[]
2020-05-22 09:05:30,"M6.1 OFF THE COAST OF BAJA CALIFORNIA SUR 10.0km May 22, 2020 08:46:06 UTC https://t.co/KyZI0KRNOl","{'type': 'Point', 'coordinates': [-108.1636, 22.4028]}",[]
2020-05-22 09:05:31,"【M6.1】FUERA DE LA COSTA DE BAJA CALIFORNIA SUR 10.0km 22/05/2020 08:46:06 UTC #Sismo
(G)https://t.co/eUxknCBSuu (US… https://t.co/ZIT1G7TTkr","{'type': 'Point', 'coordinates': [-108.1636, 22.4028]}","[{'text': 'Sismo', 'indices': [78, 84]}]"
2020-05-22 09:05:39,Alcalde de Coyotepec se encuentra hospitalizado y grave por COVID-19 https://t.co/WUiZq9zBL1,,[]
2020-05-22 09:05:48,"Mww 6.1 earthquake (reviewed) occured at 2020-05-22T08:46:06 UTC, 173km ESE of San Jose del Cabo, Mexico https://t.co/tiqhiuGGM4","{'type': 'Point', 'coordinates': [-108.1636, 22.4028]}",[]
2020-05-22 09:05:54,@ATBPGH @NFL https://t.co/QchNfwIU2Q,,[]
2020-05-22 09:06:01,#Nacional Reportan en un día 424 muertes por COVID-19 https://t.co/R7WWNAGVjM,"{'type': 'Point', 'coordinates': [-103.460398, 25.540505]}","[{'text': 'Nacional', 'indices': [0, 9]}]"
2020-05-22 09:06:02,@Lizhy__,,[]
2020-05-22 09:06:04,La jugada chingona la hizo Renfrow.,,[]
2020-05-22 09:06:07,@Mariamsi04 Con el mismo insomnio que tu 😁😎,,[]
2020-05-22 09:06:15,"Mujeres, alcohol, drogas, autos,  todo lo demás era perdida de dinero... Pocos como Best! 🏆⚽",,[]
2020-05-22 09:06:18,"@tiosamm14 @JLozanoA Y no estamos ahorita endeudados por los caprichos del cacas al cancelar un aeropuerto, no quie… https://t.co/aAr0Z0YDAH",,[]
2020-05-22 09:06:20,"Sólo sigo, como siguen a la nada de la nada que siguen cuando no son nada.. .",,[]
2020-05-22 09:06:27,@PamelaLeeO Y las cobijas,,[]
2020-05-22 09:06:43,"USGS reports a M6.1 #earthquake 173km ESE of San Jose del Cabo, Mexico on 5/22/20 @ 8:46:06 UTC https://t.co/UgeyIgN1eo #quake","{'type': 'Point', 'coordinates': [-108.1636, 22.4028]}","[{'text': 'earthquake', 'indices': [20, 31]}, {'text': 'quake', 'indices': [120, 126]}]"
2020-05-22 09:06:44,Ya no tengo ciclo circadiano alav jajajajaja,,[]
2020-05-22 09:06:49,Hola bebes ❣️ vayan a seguirme a #TikTok  https://t.co/u8VEZzDcpF https://t.co/0sZkFw7mES,,"[{'text': 'TikTok', 'indices': [33, 40]}]"
2020-05-22 09:06:52,Words can’t describe this... AGUST D IS BACK BITCHES 👏🏽 #AGUSTD2 @BTS_twt https://t.co/h9pEQA0mae,,"[{'text': 'AGUSTD2', 'indices': [56, 64]}]"
2020-05-22 09:06:52,"[M6.1 - 173km ESE of San Jose del Cabo, Mexico]
2020-05-22 08:46:06(UTC)
22.403°N 108.164°W D:10.0km
(USGS https://t.co/yo67JCIWsg) #quake","{'type': 'Point', 'coordinates': [-108.1636, 22.4028]}","[{'text': 'quake', 'indices': [132, 138]}]"
2020-05-22 09:06:56,"@xthedarkone @MissDawnrie Cause Bumi is a giant goofball, and he’s super funny and quirky, but at the end of he day… https://t.co/4cuYpAHOGZ",,[]
2020-05-22 09:06:57,Jaja madre mía,,[]
2020-05-22 09:07:02,"A 6.1 magnitude earthquake occurred 107.5mi ESE of San Jose del Cabo, Mexico. Details: https://t.co/5DKdrARKkF Map: https://t.co/qdamMEhhEg","{'type': 'Point', 'coordinates': [-108.1636, 22.4028]}",[]
2020-05-22 09:07:02,Ya paren esta masacre llamada vida pls,,[]
2020-05-22 09:07:05,"6.1 magnitude #earthquake. 171 km from La Playa, #BajaCaliforniaSur, Mexico https://t.co/H9JdbYjVSR","{'type': 'Point', 'coordinates': [-108.164, 22.403]}","[{'text': 'earthquake', 'indices': [14, 25]}, {'text': 'BajaCaliforniaSur', 'indices': [49, 67]}]"
2020-05-22 09:07:08,@21Franchini https://t.co/g0nvsHLllS https://t.co/PCovk1hlUk,,[]
2020-05-22 09:07:11,@LordRaven69 Very nice,,[]
2020-05-22 09:07:19,Jajajajaja nómbre de lo que se entera uno,,[]
2020-05-22 09:07:27,"@lukeandlaura_ Exactly! If it’s being done from a viewpoint of “hey, there’s a real problem here,” I’m fine with it… https://t.co/HmoOf8BxkE",,[]
2020-05-22 09:07:34,@WhatsAYorg https://t.co/jQ6PA6SYpJ,,[]
2020-05-22 09:07:38,Sólo escribo lo que estudes leen...,,[]
2020-05-22 09:07:38,"@ZuritaCarpio @jorgeramosnews Así es, va terminando, muy interesante.",,[]
2020-05-22 09:07:41,@aqcazteca ayuda por fabor con despensa somos 7 de familia y pagamos renta y tengo a mi nieto con parálisis cerebral,,[]
2020-05-22 09:07:42,"Y si, no he salido para nada de mi casa y ya me he enfermado varias veces. 😢😢",,[]
2020-05-22 09:07:48,Yo a estas horas de la madrugada genial !!!!,,[]
2020-05-22 09:07:51,Yo sin mi bici no soy nada 🤩 🚲💜💕,,[]
2020-05-22 09:07:53,"Este receptor nadie lo pelaba en el draft, lo tomó Raiders y es un gran receptor de ranuras",,[]
2020-05-22 09:07:59,Yo me morí. https://t.co/6LeMKK0Sr5,,[]
2020-05-22 09:08:16,"@SeeShaunVlog So sorry, definitely keeping you guys in our thoughts today 😞",,[]
2020-05-22 09:08:24,🤤🤤🤤,,[]
2020-05-22 09:08:32,"@BullyingFutbol Viendo videos de George Best, el único rockstar del fútbol mundial ⚽🏆",,[]
2020-05-22 09:08:37,"Hola bebes,💞 vayan a seguirme a #Tiktokprom 
https://t.co/nmO9oIVqQE https://t.co/QjnLJhkzBf",,"[{'text': 'Tiktokprom', 'indices': [32, 43]}]"
2020-05-22 09:08:46,@sparks_flint @joshcascio @FOX13News Your an idiot! And people like YOU are the people who make republicans look ba… https://t.co/Kr4VHWv0Lf,,[]
2020-05-22 09:08:48,Hay marcas en el cuerpo que duran toda la vida y otras se borran con el tiempo. ❤ https://t.co/ijbm6KjLh6,,[]
2020-05-22 09:09:08,@BegoGM6 @Cnajera22 A ti si existes...,,[]
2020-05-22 09:09:20,@_VicenteSerrano @Rafaherrera1983 @leozuckermann @FelipeCalderon Decisiones difíciles!!!!!,,[]
2020-05-22 09:09:20,"en la vida, eres el presagio o eres quién lo hace.",,[]
2020-05-22 09:09:20,4:00 am Cara de guardia 😴 https://t.co/4pOlTOH05R,,[]
2020-05-22 09:09:25,"Sismo en Baja California Sur, preliminar 6.1",,[]
2020-05-22 09:09:27,"Yoongi = arte 
#AGUSTD2  #SUGA",,"[{'text': 'AGUSTD2', 'indices': [15, 23]}, {'text': 'SUGA', 'indices': [25, 30]}]"
2020-05-22 09:09:33,Aquí andamos,,[]
2020-05-22 09:09:47,"@verolist @JosCastroVaca1 Pues antes d q m gane y conteste, Vero, yo tamb. m apunto a ✍🏽",,[]
2020-05-22 09:09:48,@AaronJacobson10 @PatandAaronShow https://t.co/KJFWg82UVA,,[]
2020-05-22 09:09:52,@FertiIity Muy buenos días! Saludos!,,[]
2020-05-22 09:09:58,@aaarelii Denunciarlos baby v,,[]
2020-05-22 09:10:01,@SeducemeMujer @quiquegaldeano https://t.co/2uD0ea2v2U,,[]
2020-05-22 09:10:01,"@sparks_flint @joshcascio @FOX13News Oh and maybe learn how to spell, it’s real not reel!",,[]
2020-05-22 09:09:58,@Ivonne_sanchex A tus pies no tengas MIEDO...de. interactuar...,,[]
2020-05-22 09:10:03,"No se debe tolerar de ninguna forma la agresión a un periodista.  No sólo deben ser cesados,  deben ser denunciados… https://t.co/WRsounMRPF",,[]
2020-05-22 09:10:03,"Acaban de sumarse a las tendencias de México:
 - The End
 - austin tv
 - #planseguroedomex

Es tendencia Jim Carrey… https://t.co/9ytY3L2soZ","{'type': 'Point', 'coordinates': [-99.1913432, 19.4156206]}","[{'text': 'planseguroedomex', 'indices': [73, 90]}]"
2020-05-22 09:10:10,"Sometimes it is necessary to say goodbye to the things we love most, because life has prepared something much bette… https://t.co/S0AmXKYLK3",,[]
2020-05-22 09:10:11,"@Fridarosana Mira, esperamos a que pase la cuarentena, hacemos pija, nos dopamos duro y ya luego me apuñalas❤ o culo",,[]
2020-05-22 09:10:22,@BNONews Idiots behind the steering wheel. I knew the positive reports from that state were too good to be true.,,[]
2020-05-22 09:10:24,@dayan_jared Afirmativo,,[]
2020-05-22 09:10:26,Watson,,[]
2020-05-22 09:10:29,The POWER this holds...WHEW @BTS_twt #AGUSTD2 https://t.co/l8sVchDlcm,,"[{'text': 'AGUSTD2', 'indices': [37, 45]}]"
2020-05-22 09:10:35,"A R T E 
#AGUSTD2",,"[{'text': 'AGUSTD2', 'indices': [9, 17]}]"
