created_at,text,coordinates,hashtags
2020-05-23 23:53:22,"@javi_re007 Por lo que leo, parece que estas en el sector salud, tu visión es una.

Los que tienen negocios, su vis… https://t.co/7XjBbG5ULv",,[]
2020-05-23 23:53:23,@nasrene41 Know what I want to say.....,,[]
2020-05-23 23:53:23,@MemeYamelCA Tu no debes preocuparte... Así luces bien! 👇🤣 https://t.co/VihVqd2Fq3,,[]
2020-05-23 23:53:24,https://t.co/O0QbTx4zhV,,[]
2020-05-23 23:53:24,Que dimita @lopezobrador_ ...,,[]
2020-05-23 23:53:25,@_cygne_ Invaluable experiencia!!,,[]
2020-05-23 23:53:25,@fannyftbau Jaloo,,[]
2020-05-23 23:53:26,Lmao,,[]
2020-05-23 23:53:27,@PLENTYCASH_WAVY Take like a week off bro that should help nfs,,[]
2020-05-23 23:53:27,@FerNunez15 Adelante.,,[]
2020-05-23 23:53:28,"HERMOSO CORTE #KENWORTH #W900 

*MOTOR #CATERPILLAR #3406B MECÁNICO 425HP
*TRANSMISIÓN EATON FULLER 125-13

📲557671… https://t.co/a2QkGiQ7me",,"[{'text': 'KENWORTH', 'indices': [14, 23]}, {'text': 'W900', 'indices': [24, 29]}, {'text': 'CATERPILLAR', 'indices': [39, 51]}, {'text': '3406B', 'indices': [52, 58]}]"
2020-05-23 23:53:29,@RealBasedMAGA 🤣🤣🤣🤣,,[]
2020-05-23 23:53:30,"Ya son 70,000 REPRODUCCIONES en https://t.co/nz3Qo6ghhx  
¡Muchas GRACIAS! 🙏🏼🙏🏼🙏🏼
Ayúdenme a seguir compartiendo po… https://t.co/s21H7fDI9Z",,[]
2020-05-23 23:53:30,https://t.co/8t9tirKvdC,,[]
2020-05-23 23:53:31,@fconsydig @McSally14 @HLGatell @lopezobrador_ 😍😌🙏La naturaleza dándonos ooootra lección !😢😷,,[]
2020-05-23 23:53:31,"Esperanza, incredulidad, calma y sorpresa... son los 4 estados por los que he transitado en estos días 😑 ¿y ustedes… https://t.co/9Tmo8Gy11P","{'type': 'Point', 'coordinates': [-99.20458455, 19.34448534]}",[]
2020-05-23 23:53:31,Puedo apostar que seguimos siendo tres.,,[]
2020-05-23 23:53:32,@C5_CDMX @jorgemaciashdez @Claudiashein @Alcaldia_Coy @889Noticias @NTelevisa_com @AztecaNoticias @SSPCMexico Gracias,,[]
2020-05-23 23:53:33,"#fraude13 #rezero 2do arco 1er tomo en Mexico City, Mexico https://t.co/v4aO0MiAKi","{'type': 'Point', 'coordinates': [-99.1332, 19.4326]}","[{'text': 'fraude13', 'indices': [0, 9]}, {'text': 'rezero', 'indices': [10, 17]}]"
2020-05-23 23:53:33,@JuanChanDib Felicidades amigo bien por ti,,[]
2020-05-23 23:53:33,Bruh! I love my air fryer!!!!!,,[]
2020-05-23 23:53:34,"Checking the Taco Bus location by Siesta Key (@ Marathon in Sarasota, FL) https://t.co/djjjwaJnRr https://t.co/ZVjXAMsiBm","{'type': 'Point', 'coordinates': [-82.52634383, 27.26385417]}",[]
2020-05-23 23:53:35,Si quiero ver sin censura,,[]
2020-05-23 23:53:35,"@DesireeNavarro Y para que lo retuitean 
Esto está para llorar 
En You tube hay un canal https://t.co/2fuv8UWi9o 
A… https://t.co/tJhfKEBrJi",,[]
2020-05-23 23:53:36,"Quedate en casa aun es necesario, sigamos al pendiente!
#RegresoSeguroEdomex",,"[{'text': 'RegresoSeguroEdomex', 'indices': [56, 76]}]"
2020-05-23 23:53:36,@chamuquirijillo @RockerPiL Yo voy al cielo https://t.co/oEqqvTwrIw,,[]
2020-05-23 23:53:36,"Mentira, todos no te quieren...",,[]
2020-05-23 23:53:38,I’m at the point in my pregnancy that everyday my feet are swollen 😭😭😭,,[]
2020-05-23 23:53:39,Holy fuck I miss shows,,[]
2020-05-23 23:53:40,"Que rico pozolito en Guadalajara, Jalisco https://t.co/05fGyu1CPd","{'type': 'Point', 'coordinates': [-103.35, 20.6667]}",[]
2020-05-23 23:53:42,"Me estaba dando unos besos con una chava, le empecé a meter mano. Ya cuando nos íbamos le di a oler a b@-); y qué g… https://t.co/dKrutk3i3b",,[]
2020-05-23 23:53:43,Si yo fuera barbero,,[]
2020-05-23 23:53:43,@ContactoCitibmx No puedo consultar mi saldo? Cómo es eso?,,[]
2020-05-23 23:53:43,Amor te extraño mucho,,[]
2020-05-23 23:53:45,"Y siii neta no puedo disimular cuando no me cae alguien bien 😇

Sorry soy no hipócrita 😉😘  .
#TikTok https://t.co/iggPCdbx8l",,"[{'text': 'TikTok', 'indices': [93, 100]}]"
2020-05-23 23:53:46,@__amsd Tqmas bb ❤️,,[]
2020-05-23 23:53:47,"🤤 (@ Dogos Nainari in Zapopan, Jalisco) https://t.co/0zxsz6o22g","{'type': 'Point', 'coordinates': [-103.43705424, 20.66489289]}",[]
2020-05-23 23:53:47,"MARK Alvarado en vivo para Bears United
https://t.co/PuiXkc9Ekp",,[]
2020-05-23 23:53:47,@Gorditoz1 Ya te dije me caso y te soy fiel hago lo q me pidas pero dejame sentir y oler  tu verga,,[]
2020-05-23 23:53:47,"Nadie: 
El wey castroso de mi salón que se cree que todo sabe: https://t.co/nNXJACEYKA",,[]
2020-05-23 23:53:48,:(,,[]
2020-05-23 23:53:51,@pecosab Esos tacos al pastor............,,[]
2020-05-23 23:53:52,Mientras la fila para tomarlo estará concurrida...,,[]
2020-05-23 23:53:53,#RegresoSeguroEdomex tenemos que cuidarnos mucho para salir adelante,,"[{'text': 'RegresoSeguroEdomex', 'indices': [0, 20]}]"
2020-05-23 23:53:55,"Ya a estas alturas, me vale v. que salgan y se infecten, pero neta no presuman su ignorancia en instagram y así.",,[]
2020-05-23 23:53:56,@C5_CDMX Atención fiesta en Fase 3. No los dispersan por ser policias,,[]
2020-05-23 23:53:57,Ukuleleeeee🤩 en Mi Casa https://t.co/9PFjK66kXu,"{'type': 'Point', 'coordinates': [-99.0750889, 19.3590401]}",[]
2020-05-23 23:53:57,"Ya son 70,000 REPRODUCCIONES en https://t.co/rlpKjZwGG8…  
¡Muchas GRACIAS! 🙏🏼🙏🏼🙏🏼
Ayúdenme a seguir compartiendo p… https://t.co/l00Emyd4BC",,[]
2020-05-23 23:53:57,@medranoazteca Sr. David que se sabe del Celaya ? Sonaban para jugar en 1ra división.,,[]
2020-05-23 23:53:58,"@Mariolunaglez @elposh81 A favor, con las dos estamos completos jajaj",,[]
2020-05-23 23:53:59,@YarePM Gracias chiquita tú más ❤️,,[]
2020-05-23 23:53:59,@Joe_Smith_Avila @cardenio08 @SergioSarmiento Y se aparte le sumas la estúpidamente forma de realizar compras de me… https://t.co/OlaF2r7Ej9,,[]
2020-05-23 23:53:59,@Luuisandres Yuju 💃💃💃,,[]
2020-05-23 23:54:01,Para nosotros es muy seductora la expresión de una mujer al abrazarte y oler el perfume que traes.,,[]
2020-05-23 23:54:02,"Me caen bien las amistades que se acuerdan de uno, y no para pedir favores sino para saludarte y preguntarte cómo estás.",,[]
2020-05-23 23:54:02,😮😮😮😮,,[]
2020-05-23 23:54:03,@Michaelronda,,[]
2020-05-23 23:54:04,"#DiaDelEstudiante✏📋📚🖋
En 1929  estudiantes 👨🏻‍🎓👩🏻‍🎓 fueron agredidos por policías👮🏽‍♂️👮🏽‍♀️ en busca de la… https://t.co/httyLAxUQo",,"[{'text': 'DiaDelEstudiante', 'indices': [0, 17]}]"
2020-05-23 23:54:06,@_janeah_ thank yu Tay 😘,,[]
2020-05-23 23:54:06,@ClouthierManuel @LuisaAlcalde Secretaria del trabajo o del té quedaste sin trabajo? Que ha hecho la inverbe señori… https://t.co/D55fe8ByFK,,[]
2020-05-23 23:54:06,@Mr_FirstName Para la próxima!,,[]
2020-05-23 23:54:08,"@ElMalamenMX @CruzAzulCD Eso es lo q da coraje,mamá xq iban a dar el título y ahora q no también están mamando y ad… https://t.co/z0ROh5otIV",,[]
2020-05-23 23:54:08,@laadelita3 https://t.co/YwdmSwtjEl,,[]
2020-05-23 23:54:08,Jajajajaja hijos de su ptm 🙄,,[]
2020-05-23 23:54:09,@pepehanan Mejor el Puebla que se vaya.,,[]
2020-05-23 23:54:10,"Que pasa en Toluca? @JuanRodolfo_SG  obliguen a la gente a no salir parece un sábado cualquiera!
Así, no habrá ning… https://t.co/ZIYDq0EyWn",,[]
2020-05-23 23:54:13,El y yo estamos muy solitarios https://t.co/MDP7uLyDXS,,[]
2020-05-23 23:54:13,Aparte se escucha en el vídeo que va hacia una reunión donde se puede dar un foco de contagio 😷,,[]
2020-05-23 23:54:14,I figure the Trumper women should have no problem when their husbands live like their hero Trump . Cheating on thei… https://t.co/D4eouisKts,,[]
2020-05-23 23:54:15,@z7marie @EnriqueAlfaroR https://t.co/Qm83rHkNhQ,,[]
2020-05-23 23:54:16,@Barmilcar Ya te estoy siguiendo y saludos desde el Estado de México,,[]
2020-05-23 23:54:17,@z7marie Que bueno que tienes tu beca y espero que tengas algún futuro si es que el pendejo de @lopezobrador_ deja… https://t.co/EsK3cXX3Ub,,[]
2020-05-23 23:54:18,#whatasky #neverthesame #amazing #colorful #nature #thisisit #endoftheday #sunset #rainontheway #goodevening… https://t.co/cWPdm8YfJo,"{'type': 'Point', 'coordinates': [-86.81990696, 21.17389378]}","[{'text': 'whatasky', 'indices': [0, 9]}, {'text': 'neverthesame', 'indices': [10, 23]}, {'text': 'amazing', 'indices': [24, 32]}, {'text': 'colorful', 'indices': [33, 42]}, {'text': 'nature', 'indices': [43, 50]}, {'text': 'thisisit', 'indices': [51, 60]}, {'text': 'endoftheday', 'indices': [61, 73]}, {'text': 'sunset', 'indices': [74, 81]}, {'text': 'rainontheway', 'indices': [82, 95]}, {'text': 'goodevening', 'indices': [96, 108]}]"
2020-05-23 23:54:18,@LICDUST Ay vas de fino! Goyaaaa,,[]
2020-05-23 23:54:20,"Porque la educación es el arma más poderosa que existe, muchas felicidades a todas y todos los estudiantes que con… https://t.co/JFqgzFa18i",,[]
2020-05-23 23:54:22,"@Trafico_ZMG @UMPCyBZ Eso ya es mucha casualidad, no andará x allí algún gracioso?",,[]
2020-05-23 23:54:23,"La verdad detrás de las mentiras del embaucador.
Pregunta en @Quora: ¿Por qué Felipe Calderón adquirió el costosísi… https://t.co/waKecgyYxO",,[]
