created_at,text,coordinates,hashtags
2020-05-21 22:32:30,@rubenzuarth @PRICampecheMX @alitomorenoc @PRI_Nacional @AysaGonzalez @PedroArmentiaL @caroviggiano @GOrtizGlez… https://t.co/XJkUzOh0MW,,[]
2020-05-21 22:32:30,@NBA2K_MyTEAM Why are some ppl cards allowed to move more freely on TTO? Defense is literally hopeless on this thing,,[]
2020-05-21 22:32:30,Por qué no están guardados?!! Hay un chingo más de gente desde la ultima vez que salí!! #QuedateEnCasa https://t.co/xttBQtHozQ,,"[{'text': 'QuedateEnCasa', 'indices': [88, 102]}]"
2020-05-21 22:32:32,The clones deserved better :(,,[]
2020-05-21 22:32:32,Come fly with us @TrooperMx solos o acompañados.  https://t.co/5GoCXNH0Lu,,[]
2020-05-21 22:32:34,Jajajajaja https://t.co/lD7jHig7H2,,[]
2020-05-21 22:32:35,"Está muy mal que yo lo diga pero cocino delicioso, entre otras cosas...",,[]
2020-05-21 22:32:36,"Ok, so this show is clever! @garywhitta is hosting a talk show ON ANIMAL CROSSING: NEW HORIZONS called ANIMAL TALKI… https://t.co/JE0N8zeMOV",,[]
2020-05-21 22:32:37,"""Cinturones para niña"" in #CiudaddeMxico #Mexico https://t.co/9xoWqs0I5K #zerowaste #free","{'type': 'Point', 'coordinates': [-99.168, 19.46227]}","[{'text': 'CiudaddeMxico', 'indices': [26, 40]}, {'text': 'Mexico', 'indices': [41, 48]}, {'text': 'zerowaste', 'indices': [73, 83]}, {'text': 'free', 'indices': [84, 89]}]"
2020-05-21 22:32:38,He hit me and it did in fact feel like a kiss.  Lana has never been wrong.,,[]
2020-05-21 22:32:39,"Para los que reclaman de los cobros de luz en Yucatán, chequen el hilo:",,[]
2020-05-21 22:32:39,Look at that fat mushroom head! Those always feel the best for me when They penetrate my ass and second internal ho… https://t.co/qm0SIKwlX9,,[]
2020-05-21 22:32:39,Utopía?? Verdadero?? O una próxima novela..!!! Por FA,,[]
2020-05-21 22:32:41,@ChaseBriscoe5 won the heart of the @NASCAR community. Go celebrate with the family my dude!!!,,[]
2020-05-21 22:32:42,Ya wey! @lopezobrador_ ya para de mamar!!!,,[]
2020-05-21 22:32:44,Quiero bailar como @CruzAyon ahora para cuando abran todo!!! 🤩,,[]
2020-05-21 22:32:44,"Desde ayer agregué a mi rutina de ejercicio, 30 minutos de trote...
Parece fácil y suena poco, pero me tiemblan las… https://t.co/Hnv8ghQv03",,[]
2020-05-21 22:32:46,#tbt  al 2004 .Que fregon viaje nos aventamos esa vez. CDMX-Acapulco por puro cerro. Aunque un poco agridulce al fi… https://t.co/FpBmpDuFUZ,"{'type': 'Point', 'coordinates': [-99.84757224, 16.83878461]}","[{'text': 'tbt', 'indices': [0, 4]}]"
2020-05-21 22:32:47,#BREAKING: @OCFLMayor sends @GovRonDeSantis letters of endorsement for 12 small attractions to reopen following the… https://t.co/FA8rRNjddM,,"[{'text': 'BREAKING', 'indices': [0, 9]}]"
2020-05-21 22:32:47,Jajajaja buen papá,,[]
